graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,modularity_regime,mu_t_input,mu_w_input,n,mean_auc,sd_auc,median_auc,min_auc,max_auc,se_auc,ci95_lower_mean,ci95_upper_mean
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.029302605325256324,0.011049100675790803,0.03038878776794845,0.0071656646458471,0.0516464451260362,0.0017470162116002298,0.02576893149689552,0.03283627915361713
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.03593461486438691,0.017565796291436262,0.0327807276641829,0.0068351205412502,0.0845977479024743,0.0027773962597738727,0.03031680066839824,0.04155242906037558
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.03888970346492194,0.0204511218310572,0.033764757715450455,0.0132436756799318,0.1049661474355,0.0032336062845867014,0.03234911739411461,0.045430289535729265
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.03682311604753565,0.01875179050099262,0.03447147459820845,0.0094164907456549,0.0921086096183219,0.002964918409472329,0.03082600250204614,0.042820229593025165
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.03536032971807706,0.02116526336347064,0.033564827149136806,0.0043000783833908,0.1168171371373753,0.0033465219752941726,0.028591350104946053,0.042129309331208065
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.02813707377848277,0.017667345200077074,0.023552448809965,0.0067994327237959,0.0944167525262885,0.0027934525520343385,0.0224867826659294,0.03378736489103614
lfr,node_removal,weighted_slack,weighted_slack,node,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.02658995399799504,0.02550398115064251,0.01832772877095205,0.0051364735674235,0.1326201644132284,0.004032533491901612,0.01843338511918152,0.03474652287680856
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.002437512570092787,0.00072623738261366,0.0023397289882067596,0.0011892863377392102,0.00468766339627138,0.00011482821255091662,0.002205250587201997,0.002669774552983577
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.0022600783727467198,0.0008467640667019396,0.0020507580797536,0.00042290017505109,0.0041657626929912,0.00013388515457824355,0.0019892700862535885,0.002530886659239851
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p125,0.125,0.125,40,0.002532562528299378,0.0009231916757197277,0.002417407665053,0.00085608706970956,0.00470359486451768,0.0001459694206090953,0.0022373115066303345,0.0028278135499684217
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p150,0.15,0.15,40,0.0024388121903782603,0.0008892916878005809,0.0023514043722933703,0.00070744392208218,0.00462752410440632,0.00014060936188526048,0.002154402910820781,0.0027232214699357397
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p175,0.175,0.175,40,0.0025319415818453954,0.0010825151879892817,0.00218270799744178,0.00106571781434922,0.00576802645805146,0.00017116067978857394,0.0021857364289697276,0.0028781467347210633
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p225,0.225,0.225,40,0.002393441474659905,0.0008547597562343852,0.0023353531393354703,0.0008147771134683809,0.00435308906785406,0.0001351493840975483,0.0021200760425972337,0.0026668069067225767
null,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p300,0.3,0.3,40,0.0025272620026815383,0.000852406272261186,0.00252834365166363,0.0010098425057685,0.00474383476171108,0.00013477726560794768,0.00225464925130896,0.002799874754054117
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p075,0.075,0.075,40,0.0021106400159147665,0.0020515823499635375,0.0015448543984321501,4.445146918752009e-05,0.0105523503273921,0.000324383651664272,0.0014545121490850761,0.002766767882744457
null,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,auc_abs_delta,mu_0p100,0.1,0.1,40,0.0028485488172409076,0.0022803324068745457,0.0023303892287183997,0.0001876031668373,0.0090951670829181,0.0003605522114008683,0.0021192631330411967,0.0035778345014406184
