graph_type,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_measure,n_groups_expected,n_groups_observed,total_n,min_n_per_group,max_n_per_group,balanced_to_planned_n_runs,anova_F,anova_df_between,anova_df_within,anova_p_value,anova_significant_0p05,levene_statistic,levene_p_value,equal_variance_not_rejected_0p05,welch_F,welch_df_num,welch_df_denom,welch_p_value,welch_significant_0p05,eta_squared,omega_squared,omega_squared_raw
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity_louvain_dynamic,auc_abs_marginal_delta,7,7,280,40,40,True,3.2856607631686683,6,273,0.003881253134069658,True,3.3005629071615012,0.0037509726728909096,False,,6.0,,,False,0.06734890358703964,0.04669156469515708,0.04669156469515708
lfr,edge_weakening,random_edge,random_edge,edge,community_assortativity_louvain_dynamic,auc_raw,7,7,280,40,40,True,1940.8169085179152,6,273,1.2407166795697506e-220,True,7.74677223946569,1.0494194101110186e-07,False,1522.3790168013643,6.0,120.27118052219392,6.919415313904576e-111,True,0.9770932826454417,0.9765079020790141,0.9765079020790141
lfr,edge_weakening,random_edge,random_edge,edge,gscc_ratio,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,gscc_ratio,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,gscc_ratio,auc_raw,7,7,280,40,40,True,23.75298682828876,6,273,1.445702434985702e-22,True,21.325320807993702,1.637600640159628e-20,False,12.671423571039556,6.0,113.4160698399767,6.657972574994727e-11,True,0.3429886264282543,0.3277600172686278,0.3277600172686278
lfr,edge_weakening,random_edge,random_edge,edge,reachability,auc_abs_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,reachability,auc_abs_marginal_delta,7,7,280,40,40,True,,6,273,,False,,,False,,6.0,,,False,,,
lfr,edge_weakening,random_edge,random_edge,edge,reachability,auc_raw,7,7,280,40,40,True,24.127393276273345,6,273,7.065781541931419e-23,True,19.793120846514345,3.5130559574124605e-19,False,13.208765997744484,6.0,113.41687827309553,2.680552173454217e-11,True,0.34652156487517316,0.33136621218454837,0.33136621218454837
lfr,edge_weakening,random_edge,random_edge,edge,spectral_gamma,auc_abs_delta,7,7,232,15,40,False,140.68409587358835,6,225,2.9196140199659036e-73,True,4.112906637708307,0.0006129737046477535,False,135.91993922075974,6.0,88.98120590824556,1.347191177355407e-42,True,0.7895435065843127,0.7831987589178973,0.7831987589178973
lfr,edge_weakening,random_edge,random_edge,edge,spectral_gamma,auc_abs_marginal_delta,7,7,232,15,40,False,97.89483754757688,6,225,6.416509826599397e-60,True,5.038750233335609,7.192190085445984e-05,False,91.81853917036943,6.0,89.66831338858749,4.143902135836049e-36,True,0.7230322759771195,0.7147666154134934,0.7147666154134934
lfr,edge_weakening,random_edge,random_edge,edge,spectral_gamma,auc_raw,7,7,232,15,40,False,165.9271601200727,6,225,1.0472014546813937e-79,True,4.317606815830694,0.00038224962347893876,False,163.23948371444837,6.0,89.96321897952156,3.9835915463581555e-46,True,0.8156588334720614,0.8100793757996936,0.8100793757996936
lfr,edge_weakening,random_edge,random_edge,edge,spectral_kappa,auc_abs_delta,7,7,232,15,40,False,174.29360711985345,6,225,1.1441353346499658e-81,True,4.925177169875326,9.360580086189375e-05,False,164.20988578029545,6.0,89.41078876072444,4.763039641013182e-46,True,0.8229408313595655,0.8175758788384534,0.8175758788384534
lfr,edge_weakening,random_edge,random_edge,edge,spectral_kappa,auc_abs_marginal_delta,7,7,232,15,40,False,176.08342821791422,6,225,4.455237631429425e-82,True,6.370572798212573,3.2791171988408945e-06,False,167.34814661254978,6.0,91.37317246067664,4.862816526534028e-47,True,0.8244245805356227,0.8191033941409682,0.8191033941409682
lfr,edge_weakening,random_edge,random_edge,edge,spectral_kappa,auc_raw,7,7,232,15,40,False,181.86774580299667,6,225,2.228926828109021e-83,True,4.275973682405109,0.00042082627836571493,False,188.38016936702846,6.0,91.02478276545484,4.517031932858678e-49,True,0.8290541762977456,0.8238696784176835,0.8238696784176835
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity,auc_abs_delta,7,7,280,40,40,True,2.9495425163902937,6,273,0.008334090796876359,True,0.6274395066369399,0.7082793790418385,True,3.190153547435099,6.0,121.14348648433969,0.00608520185618783,True,0.06087864535341017,0.04010066908033874,0.04010066908033874
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity,auc_abs_marginal_delta,7,7,280,40,40,True,56.626298870722174,6,273,3.4900633717875843e-45,True,3.3522897575642214,0.0033312532332604567,False,79.24913288898877,6.0,120.50698245590809,1.8094692632145955e-39,True,0.5544732306651322,0.5437939801480323,0.5437939801480323
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity,auc_raw,7,7,280,40,40,True,2328.265507542767,6,273,3.414516432400958e-231,True,8.978166899979419,5.872425091548624e-09,False,2224.172068978915,6.0,119.4797302866705,4.8459842772371126e-120,True,0.9808321420732498,0.9803420387601396,0.9803420387601396
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_delta,7,7,280,40,40,True,3.1245043768255,6,273,0.005607153496192343,True,1.4333903699990593,0.2018262405627083,True,3.0608533271311646,6.0,120.68930576109551,0.008004115119226794,True,0.06425781438534603,0.04354280357263259,0.04354280357263259
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_abs_marginal_delta,7,7,280,40,40,True,4.168283767316072,6,273,0.0004999122122357998,True,2.6144562331557104,0.017609931658424997,False,48.41835553022501,6.0,118.72426912714582,1.1823473128126973e-29,True,0.08392244408611893,0.06357553764427146,0.06357553764427146
lfr,edge_weakening,random_edge,random_edge,edge,weighted_directed_community_assortativity_louvain_dynamic,auc_raw,7,7,280,40,40,True,2022.6103733195673,6,273,5.038316416686134e-223,True,8.285782424503694,2.9589834842126726e-08,False,1955.5494769861446,6.0,119.37452114238866,1.1853619959437773e-116,True,0.9779992399888373,0.9774369362689549,0.9774369362689549
