modularity_regime,mu_t_input,mu_w_input,run_id,replicate_id,attack_family,ranking_metric,attack,perturbation_unit,outcome,auc_lfr,auc_null,delta_auc_lfr_minus_null
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,0.0018341750395507,0.0030367791878732,-0.0012026041483225
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity_louvain_dynamic,0.0018341750395507,0.0145707718118798,-0.0127365967723291
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_efficiency,0.1329012341457759,0.1518946384253685,-0.01899340427959259
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,random_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,yuan_out_in_strength_assortativity,0.0070982312808257,0.0096195787778121,-0.0025213474969863993
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,community_assortativity,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,community_assortativity_louvain_dynamic,0.0,0.0052363719841816,-0.0052363719841816
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,gscc_ratio,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,reachability,0.0,0.0,0.0
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,spectral_gamma,0.597894561293651,4.887365877113617,-4.289471315819966
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,spectral_kappa,0.5108431365465411,4.477477580853109,-3.966634444306568
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity,0.0270138394423156,0.0018042944521422,0.0252095449901734
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_directed_community_assortativity_louvain_dynamic,0.0270138394423154,0.0131337864511711,0.0138800529911443
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,weighted_efficiency,0.3473524582469623,0.3178886921611014,0.029463766085860932
mu_0p075,0.075,0.075,0,0,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,random_fixed_10pct_vary_alpha,deterioration_severity,yuan_out_in_strength_assortativity,0.0124421575934541,0.0397382575985115,-0.027296100005057403
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,community_assortativity,0.0110175417593292,0.008165331792474,0.0028522099668552015
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,community_assortativity_louvain_dynamic,0.0138257157297701,0.0461608428296518,-0.0323351270998817
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,gscc_ratio,0.3622444444444445,0.3246666666666667,0.037577777777777766
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,reachability,0.4801145413870247,0.4720656226696496,0.00804891871737512
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,spectral_gamma,0.3628251817153556,3.632973362796541,-3.2701481810811854
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,spectral_kappa,0.3639285378834421,3.0282163708614505,-2.664287832978008
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,weighted_directed_community_assortativity,0.0211862191946793,0.011824957923759,0.0093612612709203
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,weighted_directed_community_assortativity_louvain_dynamic,0.020472584506548,0.0772893919473862,-0.056816807440838196
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,weighted_efficiency,0.6634252304450142,0.8445000146652304,-0.18107478422021617
mu_0p075,0.075,0.075,0,0,node_redistribution,out_degree,out_degree,node,yuan_out_in_strength_assortativity,0.0400273113933064,0.0215916678530677,0.018435643540238696
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,community_assortativity,0.0101047696203694,0.0155934489329579,-0.0054886793125885
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,community_assortativity_louvain_dynamic,0.0114501040892506,0.0494955979454584,-0.0380454938562078
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,gscc_ratio,0.494288888888889,0.3273777777777779,0.16691111111111112
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,reachability,0.5427488441461596,0.4725284116331096,0.07022043251305005
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,spectral_gamma,0.0089698573946127,3.0388347529929622,-3.0298648955983496
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,spectral_kappa,0.0069723284031844,2.7018946505609884,-2.694922322157804
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,weighted_directed_community_assortativity,0.0145698273708646,0.018488713084155,-0.003918885713290399
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,weighted_directed_community_assortativity_louvain_dynamic,0.0178261889539848,0.0837505567147248,-0.06592436776074
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,weighted_efficiency,0.7327795914555354,0.829838513867536,-0.09705892241200065
mu_0p075,0.075,0.075,0,0,node_redistribution,out_strength,out_strength,node,yuan_out_in_strength_assortativity,0.0162650299400157,0.0217996703362149,-0.005534640396199199
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,community_assortativity,0.0080436024438348,0.0135366305760921,-0.005493028132257301
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,community_assortativity_louvain_dynamic,0.0091358004545319,0.0679166582754063,-0.0587808578208744
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,gscc_ratio,0.4339466666666666,0.3293466666666667,0.10459999999999992
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,reachability,0.5144762117822521,0.4728222222222222,0.041653989560029914
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,spectral_gamma,0.0625934663544364,4.361298824083747,-4.29870535772931
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,spectral_kappa,0.0540917390954789,3.9505527093486057,-3.896460970253127
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,weighted_directed_community_assortativity,0.0097216746397326,0.0160486884534689,-0.0063270138137363
mu_0p075,0.075,0.075,0,0,node_redistribution,random,random,node,weighted_directed_community_assortativity_louvain_dynamic,0.0085896434175786,0.1098385629922862,-0.1012489195747076
