family,filename,path,outcome,attack_family,ranking_metric,scale,graph_type
luisa_style,012_weighted_directed_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/012_weighted_directed_community_assortativity_node_removal_weighted_slack_raw_signed_delta.png,weighted_directed_community_assortativity,node_removal,weighted_slack,raw_signed_delta,
luisa_style,013_weighted_directed_community_assortativity_node_removal_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/013_weighted_directed_community_assortativity_node_removal_out_strength_raw_signed_delta.png,weighted_directed_community_assortativity,node_removal,out_strength,raw_signed_delta,
luisa_style,014_weighted_directed_community_assortativity_node_redistribution_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/014_weighted_directed_community_assortativity_node_redistribution_random_raw_signed_delta.png,weighted_directed_community_assortativity,node_redistribution,random,raw_signed_delta,
luisa_style,015_weighted_directed_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/015_weighted_directed_community_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,weighted_directed_community_assortativity,node_redistribution,weighted_slack,raw_signed_delta,
luisa_style,016_weighted_directed_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/016_weighted_directed_community_assortativity_node_redistribution_out_strength_raw_signed_delta.png,weighted_directed_community_assortativity,node_redistribution,out_strength,raw_signed_delta,
luisa_style,017_weighted_directed_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/017_weighted_directed_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,weighted_directed_community_assortativity,edge_weakening,random_edge,raw_signed_delta,
luisa_style,018_weighted_directed_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/018_weighted_directed_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,weighted_directed_community_assortativity,edge_weakening,weighted_edge_betweenness,raw_signed_delta,
luisa_style,019_weighted_directed_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/019_weighted_directed_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,weighted_directed_community_assortativity,edge_weakening_random_subset,random_fixed_10pct,raw_signed_delta,
luisa_style,020_weighted_directed_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/020_weighted_directed_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,weighted_directed_community_assortativity,edge_weakening_random_subset,weighted_edge_betweenness_fixed_10pct,raw_signed_delta,
luisa_style,021_yuan_out_in_strength_assortativity_node_removal_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/021_yuan_out_in_strength_assortativity_node_removal_random_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_removal,random,raw_signed_delta,
luisa_style,022_yuan_out_in_strength_assortativity_node_removal_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/022_yuan_out_in_strength_assortativity_node_removal_weighted_slack_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_removal,weighted_slack,raw_signed_delta,
luisa_style,023_yuan_out_in_strength_assortativity_node_removal_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/023_yuan_out_in_strength_assortativity_node_removal_out_strength_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_removal,out_strength,raw_signed_delta,
luisa_style,024_yuan_out_in_strength_assortativity_node_redistribution_random_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/024_yuan_out_in_strength_assortativity_node_redistribution_random_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_redistribution,random,raw_signed_delta,
luisa_style,025_yuan_out_in_strength_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/025_yuan_out_in_strength_assortativity_node_redistribution_weighted_slack_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_redistribution,weighted_slack,raw_signed_delta,
luisa_style,026_yuan_out_in_strength_assortativity_node_redistribution_out_strength_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/026_yuan_out_in_strength_assortativity_node_redistribution_out_strength_raw_signed_delta.png,yuan_out_in_strength_assortativity,node_redistribution,out_strength,raw_signed_delta,
luisa_style,027_yuan_out_in_strength_assortativity_edge_weakening_random_edge_raw_signed_delta.png,02_luisa_style/standard_groundtruth/yuan_out_in_strength_assortativity/027_yuan_out_in_strength_assortativity_edge_weakening_random_edge_raw_signed_delta.png,yuan_out_in_strength_assortativity,edge_weakening,random_edge,raw_signed_delta,
