relative_path,filename,asset_type,size_bytes,size_mb
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/017_weighted_directed_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,017_weighted_directed_community_assortativity_edge_weakening_random_edge_raw_signed_delta.png,png,532780,0.5080986022949219
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/018_weighted_directed_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,018_weighted_directed_community_assortativity_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,png,549013,0.5235795974731445
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/019_weighted_directed_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,019_weighted_directed_community_assortativity_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,png,406050,0.3872394561767578
visuals/02_luisa_style/standard_groundtruth/weighted_directed_community_assortativity/020_weighted_directed_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,020_weighted_directed_community_assortativity_edge_weakening_random_subset_weighted_edge_betweenness_fixed_10pct_raw_signed_delta.png,png,449850,0.42901039123535156
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/061_weighted_efficiency_node_removal_random_raw_signed_delta.png,061_weighted_efficiency_node_removal_random_raw_signed_delta.png,png,706498,0.6737689971923828
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/062_weighted_efficiency_node_removal_weighted_slack_raw_signed_delta.png,062_weighted_efficiency_node_removal_weighted_slack_raw_signed_delta.png,png,724279,0.6907262802124023
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/063_weighted_efficiency_node_removal_out_strength_raw_signed_delta.png,063_weighted_efficiency_node_removal_out_strength_raw_signed_delta.png,png,729659,0.695857048034668
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/064_weighted_efficiency_node_redistribution_random_raw_signed_delta.png,064_weighted_efficiency_node_redistribution_random_raw_signed_delta.png,png,789397,0.7528276443481445
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/065_weighted_efficiency_node_redistribution_weighted_slack_raw_signed_delta.png,065_weighted_efficiency_node_redistribution_weighted_slack_raw_signed_delta.png,png,794300,0.7575035095214844
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/066_weighted_efficiency_node_redistribution_out_strength_raw_signed_delta.png,066_weighted_efficiency_node_redistribution_out_strength_raw_signed_delta.png,png,798338,0.7613544464111328
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/067_weighted_efficiency_edge_weakening_random_edge_raw_signed_delta.png,067_weighted_efficiency_edge_weakening_random_edge_raw_signed_delta.png,png,777492,0.7414741516113281
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/068_weighted_efficiency_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,068_weighted_efficiency_edge_weakening_weighted_edge_betweenness_raw_signed_delta.png,png,766566,0.7310543060302734
visuals/02_luisa_style/standard_groundtruth/weighted_efficiency/069_weighted_efficiency_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,069_weighted_efficiency_edge_weakening_random_subset_random_fixed_10pct_raw_signed_delta.png,png,639432,0.6098098754882812
